ds,city,yhat,yhat_lower,yhat_upper
2025-07-17 11:00:00,Saharsa,32.03,32.029997542926026,32.03000244381032
2025-07-17 12:00:00,Saharsa,32.03,32.029997468483586,32.03000255556626
2025-07-17 13:00:00,Saharsa,32.03,32.029997389484286,32.030002643024865
2025-07-17 14:00:00,Saharsa,32.03,32.02999732953098,32.03000277344122
2025-07-17 15:00:00,Saharsa,32.03,32.02999723530044,32.03000289225251
2025-07-17 16:00:00,Saharsa,32.03,32.0299971639525,32.03000302413711
2025-07-17 17:00:00,Saharsa,32.03,32.02999702997249,32.03000308970375
2025-07-17 18:00:00,Saharsa,32.03,32.02999697146533,32.03000319949958
2025-07-17 19:00:00,Saharsa,32.03,32.029996858898606,32.03000331799397
2025-07-17 20:00:00,Saharsa,32.03,32.02999672180972,32.030003435046524
2025-07-17 21:00:00,Saharsa,32.03,32.02999658644018,32.03000349269898
2025-07-17 22:00:00,Saharsa,32.03,32.02999644735896,32.03000365384603
2025-07-15 13:00:00,Samastipur,20.3,20.29999997385314,20.300000025212682
2025-07-15 22:00:00,Samastipur,20.3,20.29999997554892,20.300000025912173
2025-07-15 23:00:00,Samastipur,20.3,20.29999997248394,20.300000025921012
2025-07-16 00:00:00,Samastipur,20.3,20.29999997097264,20.300000027623376
2025-07-16 01:00:00,Samastipur,20.3,20.299999964834488,20.300000031587732
2025-07-16 02:00:00,Samastipur,20.3,20.299999962164534,20.30000003610403
2025-07-16 03:00:00,Samastipur,20.3,20.299999947687123,20.300000050601984
2025-07-16 04:00:00,Samastipur,20.3,20.2999999346034,20.30000006277929
2025-07-16 05:00:00,Samastipur,20.3,20.299999910654982,20.30000008070612
2025-07-16 06:00:00,Samastipur,20.3,20.299999883296056,20.30000011263732
2025-07-16 07:00:00,Samastipur,20.3,20.29999985744959,20.3000001490307
2025-07-16 08:00:00,Samastipur,20.3,20.29999982761219,20.30000016787471
2025-07-16 09:00:00,Samastipur,20.3,20.299999791754257,20.300000205536893
2025-07-16 10:00:00,Samastipur,20.3,20.29999976344059,20.30000024936011
2025-07-16 11:00:00,Samastipur,20.3,20.299999718139308,20.300000276272765
2025-07-16 12:00:00,Samastipur,20.3,20.299999698779583,20.30000031605336
2025-07-16 13:00:00,Samastipur,20.3,20.299999656023967,20.300000353340568
2025-07-16 14:00:00,Samastipur,20.3,20.299999606494925,20.300000396108913
2025-07-16 15:00:00,Samastipur,20.3,20.299999563422894,20.30000042771805
2025-07-16 16:00:00,Samastipur,20.3,20.299999533026522,20.30000047746957
2025-07-16 17:00:00,Samastipur,20.3,20.299999475584553,20.300000515957755
2025-07-16 18:00:00,Samastipur,20.3,20.299999417530152,20.300000558380113
2025-07-16 19:00:00,Samastipur,20.3,20.299999366719092,20.300000600228305
2025-07-16 20:00:00,Samastipur,20.3,20.29999931408389,20.300000644140088
2025-07-16 21:00:00,Samastipur,20.3,20.299999237940746,20.300000699318794
2025-07-16 22:00:00,Samastipur,20.3,20.299999209961797,20.300000747104338
2025-07-16 23:00:00,Samastipur,20.3,20.29999913851151,20.300000812981857
2025-07-17 00:00:00,Samastipur,20.3,20.299999100310565,20.3000008736925
2025-07-17 01:00:00,Samastipur,20.3,20.299999050800796,20.30000091894002
2025-07-17 02:00:00,Samastipur,20.3,20.29999901714382,20.300000996216966
2025-07-17 03:00:00,Samastipur,20.3,20.299998980992687,20.300001045409694
2025-07-17 04:00:00,Samastipur,20.3,20.299998923596686,20.30000111839895
2025-07-17 05:00:00,Samastipur,20.3,20.299998823833214,20.300001192144055
2025-07-17 06:00:00,Samastipur,20.3,20.299998772284926,20.300001240600164
2025-07-17 07:00:00,Samastipur,20.3,20.299998726054408,20.30000130087667
2025-07-17 08:00:00,Samastipur,20.3,20.299998665905527,20.300001369130737
2025-07-17 09:00:00,Samastipur,20.3,20.2999986061264,20.300001460916864
2025-07-17 10:00:00,Samastipur,20.3,20.299998541688332,20.300001520401377
2025-07-17 11:00:00,Samastipur,20.3,20.299998466861094,20.30000161544159
2025-07-17 12:00:00,Samastipur,20.3,20.299998382372532,20.300001668848424
2025-07-17 13:00:00,Samastipur,20.3,20.299998308854715,20.300001808954864
2025-07-17 14:00:00,Samastipur,20.3,20.299998208857524,20.300001866267394
2025-07-17 15:00:00,Samastipur,20.3,20.29999815683882,20.3000019533723
2025-07-17 16:00:00,Samastipur,20.3,20.299998087357316,20.300001981410905
2025-07-17 17:00:00,Samastipur,20.3,20.29999801147376,20.300002027117323
2025-07-17 18:00:00,Samastipur,20.3,20.299997897515127,20.300002108487348
2025-07-17 19:00:00,Samastipur,20.3,20.299997830879853,20.300002190293114
2025-07-17 20:00:00,Samastipur,20.3,20.299997754713477,20.30000226929379
2025-07-17 21:00:00,Samastipur,20.3,20.29999764198309,20.300002313803706
2025-07-17 22:00:00,Samastipur,20.3,20.29999756940631,20.30000241098942
2025-07-15 13:00:00,Saran,29.29,29.289999961934473,29.29000003800494
2025-07-15 22:00:00,Saran,29.29,29.28999996293886,29.2900000373145
2025-07-15 23:00:00,Saran,29.29,29.289999959366764,29.290000037739066
2025-07-16 00:00:00,Saran,29.29,29.289999958278983,29.290000042477715
2025-07-16 01:00:00,Saran,29.29,29.28999995626252,29.290000050030837
2025-07-16 02:00:00,Saran,29.29,29.289999943851242,29.290000062007973
2025-07-16 03:00:00,Saran,29.29,29.289999937914303,29.290000079072957
2025-07-16 04:00:00,Saran,29.29,29.28999991956603,29.29000011090492
2025-07-16 05:00:00,Saran,29.29,29.289999894562925,29.290000143066933
2025-07-16 06:00:00,Saran,29.29,29.289999856209302,29.290000193307876
2025-07-16 07:00:00,Saran,29.29,29.28999981405221,29.290000228463573
2025-07-16 08:00:00,Saran,29.29,29.28999977171857,29.29000026043921
2025-07-16 09:00:00,Saran,29.29,29.28999972702053,29.290000300256747
2025-07-16 10:00:00,Saran,29.29,29.289999677321415,29.290000344414743
2025-07-16 11:00:00,Saran,29.29,29.28999962410943,29.290000396812125
2025-07-16 12:00:00,Saran,29.29,29.289999553237173,29.290000450026433
2025-07-16 13:00:00,Saran,29.29,29.289999498907104,29.290000505237302
2025-07-16 14:00:00,Saran,29.29,29.289999438755434,29.290000548960695
2025-07-16 15:00:00,Saran,29.29,29.289999390152307,29.290000604872304
2025-07-16 16:00:00,Saran,29.29,29.28999932866419,29.29000065533056
2025-07-16 17:00:00,Saran,29.29,29.28999925887052,29.290000719638414
2025-07-16 18:00:00,Saran,29.29,29.289999210574255,29.290000780299316
2025-07-16 19:00:00,Saran,29.29,29.28999913635134,29.290000898023525
2025-07-16 20:00:00,Saran,29.29,29.289999072074142,29.290000967433578
2025-07-16 21:00:00,Saran,29.29,29.289998980614726,29.290001042681425
2025-07-16 22:00:00,Saran,29.29,29.28999891673376,29.290001107729413
2025-07-16 23:00:00,Saran,29.29,29.28999882214143,29.29000118543523
2025-07-17 00:00:00,Saran,29.29,29.289998764833676,29.290001263726747
2025-07-17 01:00:00,Saran,29.29,29.289998716735877,29.290001350073275
2025-07-17 02:00:00,Saran,29.29,29.28999865185588,29.29000143445989
2025-07-17 03:00:00,Saran,29.29,29.289998560008843,29.29000150404126
2025-07-17 04:00:00,Saran,29.29,29.28999849176417,29.290001580612135
2025-07-17 05:00:00,Saran,29.29,29.289998395910324,29.290001672740665
2025-07-17 06:00:00,Saran,29.29,29.289998255009525,29.29000177715756
2025-07-17 07:00:00,Saran,29.29,29.28999822498328,29.290001867822873
2025-07-17 08:00:00,Saran,29.29,29.289998117592475,29.290001976469856
2025-07-17 09:00:00,Saran,29.29,29.289998047054176,29.29000209176485
2025-07-17 10:00:00,Saran,29.29,29.289997964102657,29.290002197082877
2025-07-17 11:00:00,Saran,29.29,29.28999788639684,29.290002275637196
2025-07-17 12:00:00,Saran,29.29,29.2899977925985,29.290002410784584
2025-07-17 13:00:00,Saran,29.29,29.28999768998611,29.290002513624877
2025-07-17 14:00:00,Saran,29.29,29.28999759767339,29.29000262550362
2025-07-17 15:00:00,Saran,29.29,29.289997511503405,29.29000272370518
2025-07-17 16:00:00,Saran,29.29,29.28999741362716,29.290002790269725
2025-07-17 17:00:00,Saran,29.29,29.28999727632976,29.290002900841696
2025-07-17 18:00:00,Saran,29.29,29.28999713818949,29.290003008039054
2025-07-17 19:00:00,Saran,29.29,29.28999700722259,29.290003095638234
2025-07-17 20:00:00,Saran,29.29,29.289996913189682,29.290003205078957
2025-07-17 21:00:00,Saran,29.29,29.289996766742753,29.29000329508727
2025-07-17 22:00:00,Saran,29.29,29.289996670508515,29.290003415652432
2025-07-15 13:00:00,Sheikhpura,49.61,49.60999994038544,49.610000065660714
2025-07-15 22:00:00,Sheikhpura,49.61,49.60999993941308,49.61000006328412
2025-07-15 23:00:00,Sheikhpura,49.61,49.60999993162644,49.61000006950383
2025-07-16 00:00:00,Sheikhpura,49.61,49.60999993031551,49.610000076583
2025-07-16 01:00:00,Sheikhpura,49.61,49.60999991572562,49.610000081264786
2025-07-16 02:00:00,Sheikhpura,49.61,49.60999990873289,49.61000009228136
2025-07-16 03:00:00,Sheikhpura,49.61,49.60999987934153,49.61000011819623
2025-07-16 04:00:00,Sheikhpura,49.61,49.60999984505115,49.610000147582724
2025-07-16 05:00:00,Sheikhpura,49.61,49.609999788763545,49.61000020724793
2025-07-16 06:00:00,Sheikhpura,49.61,49.609999731665795,49.61000026339293
2025-07-16 07:00:00,Sheikhpura,49.61,49.609999675079656,49.6100003353048
2025-07-16 08:00:00,Sheikhpura,49.61,49.60999957943737,49.61000044095683
2025-07-16 09:00:00,Sheikhpura,49.61,49.60999951627901,49.61000047089238
2025-07-16 10:00:00,Sheikhpura,49.61,49.60999941727593,49.61000053796533
2025-07-16 11:00:00,Sheikhpura,49.61,49.60999932369517,49.61000061654152
